 [] {430, C14},
 [] {431, C7},
 [] {432, C14},
 [] {433, C14},
 [] {434, C14},
 [] {435, C14},
 [] {436, C31},
 [] {437, C3},
 [] {438, C1},
 [] {439, C11},
 [] {44, C54},
 [] {440, C11},
 [] {441, C7},
 [] {442, C13},
 [] {443, C11},
 [] {444, C35},
 [] {445, C6},
 [] {446, C10},
 [] {447, C11},
 [] {448, C14},
 [] {449, C3},
 [] {45, C21},
 [] {410, C14},
 [] {411, C14},
 [] {412, C4},
 [] {413, C5},
 [] {414, C15},
 [] {415, C8},
 [] {416, C15},
 [] {417, C7},
 [] {418, C11},
 [] {419, C11},
 [] {42, C76},
 [] {420, C14},
 [] {421, C13},
 [] {422, C11},
 [] {423, C11},
 [] {424, C14},
 [] {425, C16},
 [] {426, C7},
 [] {427, C23},
 [] {428, C23},
 [] {392, C69},
 [] {393, C66},
 [] {394, C65},
 [] {395, C29},
 [] {396, C29},
 [] {397, C29},
 [] {398, C29},
 [] {399, C29},
 [] {4, C20},
 [] {40, C20},
 [] {400, C35},
 [] {401, C12},
 [] {402, C16},
 [] {403, C16},
 [] {404, C15},
 [] {405, C8},
 [] {406, C15},
 [] {407, C8},
 [] {408, C8},
 [] {409, C13},
 [] {373, C50},
 [] {374, C66},
 [] {375, C66},
 [] {376, C52},
 [] {377, C64},
 [] {378, C13},
 [] {379, C13},
 [] {38, C73},
 [] {380, C13},
 [] {381, C13},
 [] {382, C69},
 [] {383, C1},
 [] {384, C6},
 [] {385, C59},
 [] {386, C12},
 [] {387, C69},
 [] {388, C71},
 [] {389, C6},
 [] {39, C20},
 [] {390, C12},
 [] {354, C69},
 [] {355, C49},
 [] {356, C55},
 [] {357, C50},
 [] {358, C66},
 [] {359, C69},
 [] {36, C74},
 [] {360, C60},
 [] {361, C50},
 [] {362, C64},
 [] {363, C69},
 [] {364, C69},
 [] {365, C68},
 [] {366, C55},
 [] {367, C52},
 [] {368, C69},
 [] {369, C65},
 [] {37, C21},
 [] {370, C69},
 [] {371, C65},
 [] {334, C18},
 [] {335, C18},
 [] {336, C18},
 [] {338, C63},
 [] {339, C59},
 [] {34, C70},
 [] {340, C49},
 [] {341, C64},
 [] {342, C71},
 [] {343, C66},
 [] {344, C62},
 [] {345, C50},
 [] {346, C1},
 [] {347, C55},
 [] {348, C66},
 [] {349, C66},
 [] {35, C70},
 [] {350, C4},
 [] {351, C69},
 [] {352, C71},
 [] {315, C64},
 [] {316, C64},
 [] {317, C17},
 [] {318, C18},
 [] {319, C17},
 [] {32, C20},
 [] {320, C18},
 [] {321, C18},
 [] {322, C71},
 [] {323, C62},
 [] {324, C64},
 [] {325, C69},
 [] {326, C69},
 [] {327, C18},
 [] {328, C56},
 [] {329, C18},
 [] {33, C74},
 [] {330, C59},
 [] {331, C69},
 [] {332, C60},
 [] {297, C18},
 [] {298, C17},
 [] {299, C68},
 [] {3, C70},
 [] {30, C74},
 [] {300, C52},
 [] {301, C18},
 [] {302, C64},
 [] {303, C30},
 [] {304, C56},
 [] {305, C17},
 [] {306, C17},
 [] {307, C17},
 [] {308, C17},
 [] {309, C62},
 [] {31, C73},
 [] {310, C53},
 [] {311, C57},
 [] {312, C65},
 [] {313, C66},
 [] {278, C68},
 [] {279, C68},
 [] {28, C75},
 [] {280, C72},
 [] {281, C18},
 [] {282, C47},
 [] {283, C17},
 [] {284, C18},
 [] {285, C17},
 [] {286, C17},
 [] {287, C18},
 [] {288, C57},
 [] {289, C57},
 [] {29, C74},
 [] {290, C18},
 [] {291, C50},
 [] {292, C17},
 [] {293, C18},
 [] {294, C57},
 [] {295, C68},
 [] {259, C18},
 [] {26, C75},
 [] {260, C18},
 [] {261, C69},
 [] {262, C68},
 [] {263, C70},
 [] {264, C17},
 [] {265, C17},
 [] {266, C68},
 [] {267, C73},
 [] {268, C70},
 [] {269, C18},
 [] {27, C70},
 [] {270, C18},
 [] {271, C47},
 [] {272, C57},
 [] {273, C17},
 [] {274, C17},
 [] {275, C18},
 [] {276, C17},
 [] {237, C20},
 [] {24, C20},
 [] {241, C62},
 [] {242, C57},
 [] {243, C18},
 [] {244, C73},
 [] {245, C56},
 [] {246, C68},
 [] {247, C57},
 [] {248, C18},
 [] {249, C73},
 [] {25, C74},
 [] {250, C60},
 [] {251, C61},
 [] {252, C47},
 [] {253, C18},
 [] {254, C18},
 [] {255, C72},
 [] {256, C55},
 [] {257, C18},
 [] {218, C73},
 [] {219, C72},
 [] {22, C70},
 [] {220, C21},
 [] {221, C21},
 [] {222, C74},
 [] {223, C55},
 [] {224, C47},
 [] {225, C70},
 [] {226, C62},
 [] {227, C47},
 [] {228, C61},
 [] {229, C18},
 [] {23, C74},
 [] {230, C18},
 [] {231, C74},
 [] {232, C61},
 [] {233, C74},
 [] {234, C62},
 [] {235, C55},
 [] {2, C76},
 [] {20, C74},
 [] {200, C55},
 [] {201, C32},
 [] {202, C69},
 [] {203, C76},
 [] {204, C68},
 [] {205, C21},
 [] {206, C50},
 [] {207, C76},
 [] {208, C25},
 [] {209, C25},
 [] {21, C54},
 [] {210, C20},
 [] {211, C20},
 [] {212, C72},
 [] {213, C67},
 [] {214, C21},
 [] {215, C20},
 [] {216, C55},
 [] {180, C19},
 [] {181, C19},
 [] {182, C24},
 [] {183, C51},
 [] {184, C30},
 [] {185, C58},
 [] {186, C24},
 [] {187, C60},
 [] {188, C70},
 [] {189, C22},
 [] {19, C75},
 [] {190, C22},
 [] {191, C22},
 [] {192, C72},
 [] {193, C22},
 [] {194, C22},
 [] {195, C69},
 [] {196, C76},
 [] {197 , C76},
 [] {198, C52},
 [] {160, C19},
 [] {161, C19},
 [] {162, C19},
 [] {163, C20},
 [] {164, C20},
 [] {165, C61},
 [] {166, C53},
 [] {167, C20},
 [] {168, C71},
 [] {169, C69},
 [] {17, C72},
 [] {170, C19},
 [] {171, C19},
 [] {172, C19},
 [] {173, C19},
 [] {174, C19},
 [] {175, C24},
 [] {176, C19},
 [] {177, C19},
 [] {178, C60},
 [] {179, C24},
 [] {141, C66},
 [] {142, C19},
 [] {143, C19},
 [] {144, C21},
 [] {145, C20},
 [] {146, C20},
 [] {147, C72},
 [] {148, C68},
 [] {149, C68},
 [] {15, C75},
 [] {150, C49},
 [] {151, C20},
 [] {152, C72},
 [] {153, C72},
 [] {154, C72},
 [] {155, C70},
 [] {156, C21},
 [] {157, C19},
 [] {158, C68},
 [] {159, C19},
 [] {120, C48},
 [] {121, C75},
 [] {122, C71},
 [] {123, C69},
 [] {124, C70},
 [] {125, C20},
 [] {126, C19},
 [] {127, C51},
 [] {128, C24},
 [] {129, C51},
 [] {13, C20},
 [] {130, C24},
 [] {131, C65},
 [] {132, C19},
 [] {133, C53},
 [] {134, C24},
 [] {135, C25},
 [] {136, C67},
 [] {137, C73},
 [] {138, C72},
 [] {139, C74},
 [] {14, C55}]
